tool,target,url,api_status_code,target_status_code,response_ms,has_title,has_expected_content,title,content_type,success,error
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2894,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2720,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1641,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1880,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2895,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2152,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1463,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2054,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2798,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1653,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1421,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1844,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1657,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1502,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1421,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1429,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1450,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1987,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1816,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2331,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1886,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2122,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,3086,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1456,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2823,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2671,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1545,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1973,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1986,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1424,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1970,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1446,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2058,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1677,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1833,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1630,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1885,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1427,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2853,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1145,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1487,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1243,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1456,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1817,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1728,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1649,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1284,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2052,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2063,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1935,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
zenrows,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1643,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",,True,
